,0
0,513
1,2
2,515
3,516
4,1541
5,518
6,7
7,10
8,2059
9,1036
10,1550
11,15
12,2392
13,1042
14,686
15,23
16,2360
17,27
18,2077
19,1057
20,549
21,39
22,2271
23,1066
24,1655
25,2482
26,558
27,2095
28,48
29,50
30,2099
31,53
32,1204
33,1546
34,62
35,1775
36,1600
37,2113
38,1090
39,2423
40,1206
41,1606
42,1607
43,1548
44,74
45,1293
46,1213
47,84
48,85
49,86
50,1111
51,2138
52,1116
53,1629
54,606
55,1637
56,608
57,97
58,1979
59,612
60,102
61,614
62,1129
63,106
64,1895
65,2305
66,2157
67,622
68,957
69,1136
70,625
71,1138
72,2232
73,2164
74,1893
75,1142
76,1385
77,2493
78,122
79,1668
80,126
81,1557
82,129
83,642
84,131
85,644
86,1157
87,134
88,135
89,648
90,1280
91,651
92,1474
93,654
94,143
95,1683
96,2224
97,1691
98,1180
99,157
100,670
101,159
102,2208
103,161
104,2246
105,1190
106,1704
107,174
108,1200
109,1224
110,179
111,692
112,1717
113,694
114,184
115,1722
116,1724
117,189
118,2239
119,1677
120,1440
121,707
122,2244
123,1967
124,1222
125,712
126,715
127,1900
128,719
129,1232
130,2446
131,211
132,2260
133,1238
134,215
135,2264
136,1242
137,1243
138,1756
139,221
140,1758
141,735
142,736
143,1761
144,1762
145,1251
146,806
147,1256
148,1769
149,2282
150,747
151,2429
152,2002
153,1262
154,893
155,1265
156,2290
157,1235
158,1747
159,759
160,249
161,2378
162,2302
163,767
164,768
165,257
166,1283
167,1284
168,1286
169,1153
170,777
171,2314
172,2007
173,94
174,781
175,270
176,785
177,1299
178,276
179,2350
180,791
181,793
182,1821
183,1311
184,289
185,2338
186,2277
187,292
188,1829
189,294
190,809
191,1322
192,299
193,2348
194,813
195,1838
196,1329
197,1843
198,2356
199,824
200,1339
201,828
202,1854
203,565
204,1675
205,1349
206,839
207,1352
208,842
209,331
210,2142
211,845
212,1359
213,1360
214,1848
215,341
216,2390
217,2105
218,856
219,1369
220,2455
221,1375
222,1377
223,1851
224,1380
225,1381
226,1383
227,1340
228,1898
229,1086
230,876
231,365
232,878
233,2416
234,369
235,370
236,883
237,2280
238,885
239,1911
240,1912
241,377
242,1598
243,381
244,2263
245,897
246,1410
247,901
248,2439
249,2441
250,2443
251,1934
252,1423
253,1427
254,916
255,917
256,406
257,407
258,408
259,923
260,412
261,927
262,928
263,417
264,1156
265,2203
266,933
267,2470
268,2145
269,2204
270,426
271,1451
272,1693
273,1861
274,1458
275,2035
276,2488
277,953
278,1901
279,1439
280,445
281,449
282,782
283,1987
284,1441
285,968
286,970
287,2295
288,1793
289,2040
290,978
291,2467
292,2317
293,1494
294,1785
295,2266
296,2127
297,2014
298,2405
299,484
300,1617
301,490
302,2471
303,2029
304,1006
305,1533
306,1008
307,1009
308,1011
309,500
310,2037
311,502
312,1528
313,2132
314,1279
315,1021
316,2046
317,1023
