,event,TrackID,bef/aft,N,Max_1,Min_1,deviation_1,Max_0,Min_0,deviation_0,Class
1,513,1,0,8,1.2153094501566639,0.75907370860244761,1.0074716852179972,0.023590267315413208,0.010463347114652966,0.015285249109286157,1.0
2,513,2,0,8,1.039541469977711,0.96549224264473577,1.0004074772518978,0.0060654772009275382,0.002633624207866378,0.0043473353730408924,1.0
3,513,1,1,9,1.2067187385830791,0.026862868235684973,0.9078155786405111,0.034514425901302173,0.0015045981264271355,0.014837163863085066,1.0
4,513,2,1,8,1.1435636394911675,0.22793004512383722,0.83386202823948463,0.046168199284945366,0.0031859286780486773,0.025026529290320062,1.0
5,2,1,0,9,1.0342192986496497,0.27963946729115313,0.89866914984408075,0.013139073813035113,0.0012981764879771984,0.0050156897709197502,1.0
6,2,2,0,8,1.0939768465433515,0.88886676431288159,0.99871284655790382,0.013456059500278894,0.0030198840294696772,0.008893636731382451,1.0
7,2,1,1,11,1.0320712617777128,0.43453085837603878,0.85813528083157287,0.014900691745130201,0.002171068632257005,0.0091449126115494116,1.0
8,2,2,1,8,1.1577304494958085,0.53826748780798495,0.91621702490794421,0.044190739013442781,0.00587920449366372,0.021332786247121052,1.0
9,515,1,0,9,1.183134822081233,0.5245287888660215,0.93381070152930867,0.05660932399960672,0.015635826292170807,0.034816778513616788,1.0
10,515,2,0,8,1.1624627945716286,0.85524251907134963,1.0104805449143281,0.029585037862258301,0.013268277368165354,0.02220012404893601,1.0
11,515,1,1,10,1.4540371757187993,0.14928461644669447,0.91928198812898942,0.057139241972056443,0.00028737676961637648,0.025577923482031778,1.0
12,515,2,1,9,1.17957127346655,0.012909452918027873,0.91610220997980896,0.039036592262788918,0.0013023644030997206,0.016650908303877884,1.0
13,516,1,0,10,1.1327595851862751,0.85168824880663341,0.98763094164869114,0.015699204579981335,0.00028729773607981401,0.0070717422209881971,1.0
14,516,2,0,9,1.234421853043524,0.48787337707053086,0.98457216547375204,0.030690862519474262,0.0043455737785301762,0.017416136094718572,1.0
15,516,1,1,8,1.5460087686000825,0.24128760591916235,0.94533214448366953,0.058965910628675122,0.0039595663977279871,0.030432531857310981,1.0
16,516,2,1,8,1.4790533598174596,0.28690787353872105,0.94459122621052105,0.058112127246344764,0.007453816060898677,0.03109098875323759,1.0
17,1541,1,0,9,1.1671805918312939,0.31999151247604113,0.93716511565054594,0.067162875410547093,0.00056089645194329352,0.022709996901096,1.0
18,1541,2,0,8,1.1640613204870869,0.74963564985575337,0.93816745475843832,0.039598378630402359,0.014464492830791764,0.025177983407175978,1.0
19,1541,1,1,8,1.3673706573984883,0.34601286244033025,0.90390597374610993,0.068679946733889885,0.0092998214382061933,0.032372428172363667,1.0
20,1541,2,1,8,1.2518840777149542,0.62132365355526686,0.99915150221341276,0.049206925572297999,0.012858302856546489,0.025816747682031075,1.0
21,518,1,0,9,1.069369827461605,0.44810597912516659,0.90874181391740472,0.025990671678005818,0.0033930644826262735,0.016737614936807407,1.0
22,518,2,0,9,1.0490666901409456,0.20572441096225677,0.9122931695717218,0.018861852751241248,0.0039068588177932073,0.012201117039226918,1.0
23,518,1,1,9,1.1971190253494326,0.52996931925115609,0.95675467360444444,0.036721092970620789,0.0027868429473191791,0.017414537944635464,1.0
24,518,2,1,8,1.0786983549136049,0.84690242612657463,0.96747890385646507,0.016714428687922139,0.0038248653002084243,0.0091783106767094266,1.0
25,7,1,0,9,1.4297861102109901,0.4896008990737119,0.98729749685449497,0.02425121486842724,0.00078548362753289025,0.013676698570780096,1.0
26,7,2,0,8,1.0978496211356468,0.92735690316896091,1.004647785298403,0.010714566315656093,0.0049828623729756688,0.0071650705464983179,1.0
27,7,1,1,12,35.03350713121867,0.15623248968586839,6.1933309126202625,0.82592215346691034,0.018798416506738545,0.26215913430509108,0.75
